study_id,title,subtitle,country,authors,year,url_page,url_pdf,filename,status,size_bytes,size_mb,scraped_at
DAIO Study 26|34,Fragmented Efforts,Defense AI in Brasil,Brasil,João Paulo Moralez and Santiago Rivas,2026,https://defenseai.eu/daio_study2634_fragmented_efforts_joao_paulo_moralez_santiago_rivas,https://defenseai.eu/wp-content/uploads/2026/03/daio_study2634_fragmented_efforts_joao_paulo_moralez_santiago_rivas.pdf,daio_study2634_fragmented_efforts_joao_paulo_moralez_santiago_rivas.pdf,200,1432349,1.37,2026-06-03T19:16:44.662738Z
DAIO Study 26|33,Controlled Adaptation and Integration,Defence AI in Belgium,Belgium,Daniel Fiott,2026,https://defenseai.eu/daio_study2633_controlled_adaptation_and_integration_daniel_fiott,https://defenseai.eu/wp-content/uploads/2026/03/daio_study2633_controlled_adaptation_and_integration_daniel_fiott.pdf,daio_study2633_controlled_adaptation_and_integration_daniel_fiott.pdf,200,1470462,1.4,2026-06-03T19:17:07.099566Z
DAIO Study 26|32,From Laggard to Potential Regional Innovator?,Defence AI in Romania,Romania,Raluca Csernatoni,2026,https://defenseai.eu/daio_study2632_from_laggard_to_potential_regional_innovator_raluca_csernatoni,https://defenseai.eu/wp-content/uploads/2026/02/daio_study2632_from_laggard_to_potential_regional_innovator_raluca_csernatoni.pdf,daio_study2632_from_laggard_to_potential_regional_innovator_raluca_csernatoni.pdf,200,1484998,1.42,2026-06-03T19:17:21.421189Z
DAIO Study 25|31,A Careful Walk on Thin Ice,Defense AI in Indonesia,Indonesia,Emanuel Ario Bimo and Bagus Jatmiko,2025,https://defenseai.eu/daio_study2531_a_careful_walk_on_thin_ice_emanuel_ario_bimo_bagus_jatmiko,https://defenseai.eu/wp-content/uploads/2025/11/daio_study2531_a_careful_walk_on_thin_ice_emanuel_ario_bimo_bagus_jatmiko.pdf,daio_study2531_a_careful_walk_on_thin_ice_emanuel_ario_bimo_bagus_jatmiko.pdf,200,1585247,1.51,2026-06-03T19:17:34.166753Z
DAIO Study 25|30,Bonds That,,,Separate,2025,https://defenseai.eu/daio_study2530_bonds_that_separate_heiko_borchert,https://defenseai.eu/wp-content/uploads/2025/10/daio_study2530_bonds_that_separate_heiko_borchert.pdf,daio_study2530_bonds_that_separate_heiko_borchert.pdf,200,1799477,1.72,2026-06-03T19:17:43.942130Z
DAIO Study 25|29,Guarding the Alliance’s Eastern Frontiers,Defense AI in Poland,Poland,"Rafał Lipka, Jakub Wernik, and Wojciech Dzięgiel",2025,https://defenseai.eu/daio_study2529_guarding_the_alliances_eastern_frontiers_lipka_wernik_dziegiel,https://defenseai.eu/wp-content/uploads/2025/09/daio_study2529_guarding_the_alliances_eastern_frontiers_lipka_wernik_dziegiel.pdf,daio_study2529_guarding_the_alliances_eastern_frontiers_lipka_wernik_dziegiel.pdf,200,1707001,1.63,2026-06-03T19:17:52.432866Z
DAIO Study 25|28,An Underdeveloped Strategic Necessity,Defense AI in Pakistan,Pakistan,Umaima Ali,2025,https://defenseai.eu/daio_study2528_an_underdeveloped_strategic_necessity_umaima_ali,https://defenseai.eu/wp-content/uploads/2025/07/daio_study2528_an_underdeveloped_strategic_necessity_umaima_ali.pdf,daio_study2528_an_underdeveloped_strategic_necessity_umaima_ali.pdf,200,1472980,1.4,2026-06-03T19:17:57.832109Z
DAIO Study 25|27,Thinking Before Sinking,,,Red and Blue AI Tactics for Naval Combat,2025,https://defenseai.eu/daio_study2527_thinking_before_sinking_borchert_brandlhuber_dzaack,https://defenseai.eu/wp-content/uploads/2025/05/daio_study2527_thinking_before_sinking_borchert_brandlhuber_dzaack.pdf,daio_study2527_thinking_before_sinking_borchert_brandlhuber_dzaack.pdf,200,1462454,1.39,2026-06-03T19:18:37.779489Z
DAIO Study 24|26,His Hands Can’t Hit,,,What His Eyes Can’t See,2024,https://defenseai.eu/daio_study2426_his_hands_cant_hit_what_his_eyes_cant_see_borchert_brandlhuber,https://defenseai.eu/wp-content/uploads/2024/09/daio_study2426_his_hands_cant_hit_what_his_eyes_cant_see_borchert_brandlhuber.pdf,daio_study2426_his_hands_cant_hit_what_his_eyes_cant_see_borchert_brandlhuber.pdf,200,2306073,2.2,2026-06-03T19:18:53.061057Z
Book,The Very Long Game,,,25 Case Studies on the Global State of Defense AI,2024,https://link.springer.com/book/10.1007/978-3-031-58649-1,https://defenseai.eu/content/pdf/10.1007/978-3-031-58649-1.pdf,978-3-031-58649-1.pdf,404,0,0.0,2026-06-03T19:18:58.020794Z
