seccion,campo,valor,url
metadata,title,Secure World Foundation: 2026 Global Counterspace Capabilities Report,
metadata,description,The 2026 report reveals growing global counterspace capabilities and urges public awareness of the risks of space conflict.,
metadata,image_preview,https://cdn.prod.website-files.com/66dcc6872f6ed23bce1db235/69fcc435da172340b5ddb018_GCR-Cover_sml.jpg,
metadata,og_type,website,
metadata,canonical,https://www.swfound.org/publications-and-reports/2026-global-counterspace-capabilities-report,
metadata,twitter_card,summary_large_image,
metadata,page_title,Secure World Foundation: 2026 Global Counterspace Capabilities Report,
metadata,publication_date,Last Published: Tue May 26 2026 17:59:21 GMT+0000 (Coordinated Universal Time),
metadata,report_title,2026 Global Counterspace Capabilities Report,
metadata,category,Counterspace Capabilities,
metadata,countries_covered,"['the United States', 'Russia', 'China', 'India', 'Australia', 'France', 'Germany (added this year)', 'Iran', 'Israel', 'Japan', 'North Korea', 'South Korea', 'the United Kingdom']",
metadata,counterspace_categories,"['co-orbital', 'direct-ascent', 'electronic warfare', 'directed energy', 'cyber']",
editors,Victoria Samson,"Editor, Chief Director Space Security and Stability",https://www.swfound.org/team/victoria-samson
editors,Kathleen Brett,"Editor, Program Analyst Space Security and Stability",https://www.swfound.org/team/kathleen-brett
pdfs,View Publication,55.1 MB,https://www.dropbox.com/scl/fi/bxbmv6vxmzeorypc6y0ta/SWF_Global_Counterspace_Capabilities_2026_HR.pdf?rlkey=n0n0l5ajh0f31kh2httmthfes&st=d6m2bi44&raw=1
pdfs,2026 Executive Summary,3.1 MB,https://www.dropbox.com/scl/fi/oz520yquv6t603jzdrdub/ExecSum_2026_SWF_Global_Counterspace_Capabilities.pdf?rlkey=m7i8jr71ukep8vfctte0eit4l&st=9r72bmhx&raw=1
pdfs,2026 Executive Summary - Chinese,3.0 MB,https://www.dropbox.com/scl/fi/kj2kpurttovmvg2k0y20f/GCSR_2026_ExecSum_CHI.pdf?rlkey=k96of0n40qb6iugcikko0kdtv&st=if6fmk5j&raw=1
pdfs,2026 Executive Summary - English,2.9 MB,https://www.dropbox.com/scl/fi/9yteblhiegs7nzwfxci1s/GCSR_2026_ExecSum_ENG.pdf?rlkey=qfrac6rtn8f8aaadjkt2x8wde&st=6yi4ld5b&raw=1
pdfs,2026 Executive Summary - French,2.9 MB,https://www.dropbox.com/scl/fi/y5qeozjefmrnkd39y9w05/GCSR_2026_ExecSum_FRE.pdf?rlkey=a6i5yydknktjv2nc6ah9rqd4t&st=x5sszvcp&raw=1
pdfs,2026 Executive Summary - Portuguese,3.0 MB,https://www.dropbox.com/scl/fi/iqeiaojf5m0cumjp6578m/GCSR_2026_ExecSum_POR.pdf?rlkey=ocfaan9t782765su2qdcf8jj5&st=yke09gej&raw=1
pdfs,2026 Executive Summary - Russian,2.9 MB,https://www.dropbox.com/scl/fi/380tfduashikqz9yqtm98/GCSR_2026_ExecSum_RUS.pdf?rlkey=bc0v19fam8xsb9gsaggn7h47g&st=2l2pp94u&raw=1
images,68399cb24dc4a66ec0d2c535_s43-83-082~orig.jpg,145.3 KB,https://cdn.prod.website-files.com/66cf82e93849a4f65e1e25d1/68399cb24dc4a66ec0d2c535_s43-83-082~orig.jpg
images,68399cb30e67dd1473cc427a_sts063-712-072~medium.jpg,48.5 KB,https://cdn.prod.website-files.com/66cf82e93849a4f65e1e25d1/68399cb30e67dd1473cc427a_sts063-712-072~medium.jpg
images,68399caedbb7cbe28229c326_38236.jpg,190.8 KB,https://cdn.prod.website-files.com/66cf82e93849a4f65e1e25d1/68399caedbb7cbe28229c326_38236.jpg
images,68239a54783e8c917bedf423_HS-2025_VictoriaSamson_web.avif,15.2 KB,https://cdn.prod.website-files.com/66dcc6872f6ed23bce1db235/68239a54783e8c917bedf423_HS-2025_VictoriaSamson_web.avif
images,685948b82c82d26ce150c2a9_KBrett.jpg,55.5 KB,https://cdn.prod.website-files.com/66dcc6872f6ed23bce1db235/685948b82c82d26ce150c2a9_KBrett.jpg
images,69d5661917fa2d73b0e69452_CSCR_Head.jpg,40.7 KB,https://cdn.prod.website-files.com/66dcc6872f6ed23bce1db235/69d5661917fa2d73b0e69452_CSCR_Head.jpg
images,69caf750b6a0fce65862de8a_Stoplight-Chart_ExecSummary-web.jpg,343.9 KB,https://cdn.prod.website-files.com/66dcc6872f6ed23bce1db235/69caf750b6a0fce65862de8a_Stoplight-Chart_ExecSummary-web.jpg
images,6a063f3ccaf9f32a290430b9_ASAT-by-Country-2026.jpg,39.6 KB,https://cdn.prod.website-files.com/66dcc6872f6ed23bce1db235/6a063f3ccaf9f32a290430b9_ASAT-by-Country-2026.jpg
images,69cac182eba666b43b38e5dd_Table-5-1_web.jpg,281.5 KB,https://cdn.prod.website-files.com/66dcc6872f6ed23bce1db235/69cac182eba666b43b38e5dd_Table-5-1_web.jpg
links,The 8th Summit for Space Sustainability,,http://swfsummit.org/
links,View Publication,,https://www.dropbox.com/scl/fi/bxbmv6vxmzeorypc6y0ta/SWF_Global_Counterspace_Capabilities_2026_HR.pdf?rlkey=n0n0l5ajh0f31kh2httmthfes&st=d6m2bi44&raw=1
links,2026 Executive Summary,,https://www.dropbox.com/scl/fi/oz520yquv6t603jzdrdub/ExecSum_2026_SWF_Global_Counterspace_Capabilities.pdf?rlkey=m7i8jr71ukep8vfctte0eit4l&st=9r72bmhx&raw=1
links,Victoria Samson,,https://www.swfound.org/team/victoria-samson
links,Kathleen Brett,,https://www.swfound.org/team/kathleen-brett
links,2026 Executive Summary - Chinese,,https://www.dropbox.com/scl/fi/kj2kpurttovmvg2k0y20f/GCSR_2026_ExecSum_CHI.pdf?rlkey=k96of0n40qb6iugcikko0kdtv&st=if6fmk5j&raw=1
links,2026 Executive Summary - English,,https://www.dropbox.com/scl/fi/9yteblhiegs7nzwfxci1s/GCSR_2026_ExecSum_ENG.pdf?rlkey=qfrac6rtn8f8aaadjkt2x8wde&st=6yi4ld5b&raw=1
links,2026 Executive Summary - French,,https://www.dropbox.com/scl/fi/y5qeozjefmrnkd39y9w05/GCSR_2026_ExecSum_FRE.pdf?rlkey=a6i5yydknktjv2nc6ah9rqd4t&st=x5sszvcp&raw=1
links,2026 Executive Summary - Portuguese,,https://www.dropbox.com/scl/fi/iqeiaojf5m0cumjp6578m/GCSR_2026_ExecSum_POR.pdf?rlkey=ocfaan9t782765su2qdcf8jj5&st=yke09gej&raw=1
links,2026 Executive Summary - Russian,,https://www.dropbox.com/scl/fi/380tfduashikqz9yqtm98/GCSR_2026_ExecSum_RUS.pdf?rlkey=bc0v19fam8xsb9gsaggn7h47g&st=2l2pp94u&raw=1
