tile_zoom,tile_x,tile_y,fid,au_ID_concatenated,au_country,au_level1,au_level2,b_ADM1_PCODE,b_ADM2_PCODE,b_ADM1_ES,b_ADM2_ES,b_ADM1_PT,b_ADM2_PT,au_area_km2,au_population,au_invest_with_presence,au_no_info,grupo_EMC,grupo_EMBF,grupo_ELN,grupo_CDF_AGC,grupo_Seg_Marquetalia,grupo_Los_Lobos,grupo_Los_Choneros,grupo_CV,grupo_PCC,grupo_Others,total_grupos_presentes,grupos_detalle_ES,grupos_detalle_PT,grupos_detalle_EN
3,2,3,863,,,,,CO41,CO41319,Huila,Guadalupe,,,249.41,,,,,,,,,,,,,,,,,
3,2,3,865,,,,,CO41,CO41298,Huila,Garzón,,,606.11,,,,,,,,,,,,,,,,,
3,2,3,1211,,,,,VE16,VE1608,Monagas,Maturín,,,12970.55,,,,,,,,,,,,,,,,,
3,2,3,1212,,,,,VE12,VE1206,Guárico,Las Mercedes,,,8021.71,,,,,,,,,,,,,,,,,
3,2,3,1213,,,,,VE12,VE1205,Guárico,Leonardo Infante,,,9893.99,,,,,,,,,,,,,,,,,
3,2,3,1214,,,,,VE12,VE1203,Guárico,El Socorro,,,2820.13,,,,,,,,,,,,,,,,,
3,2,3,1218,,,,,VE16,VE1607,Monagas,Libertador,,,3162.13,,,,,,,,,,,,,,,,,
3,2,3,1221,,,,,VE16,VE1612,Monagas,Sotillo,,,1821.56,,,,,,,,,,,,,,,,,
3,2,3,1223,,,,,VE16,VE1613,Monagas,Uracoa,,,1747.12,,,,,,,,,,,,,,,,,
3,2,3,1225,,,,,VE03,VE0310,Anzoátegui,José Gregorio Monagas,,,9891.99,,,,,,,,,,,,,,,,,
3,2,3,1226,,,,,VE03,VE0307,Anzoátegui,Independencia,,,6935.67,,,,,,,,,,,,,,,,,
3,2,3,1227,,,,,VE03,VE0305,Anzoátegui,Francisco de Miranda,,,5188.31,,,,,,,,,,,,,,,,,
3,2,3,1228,,,,,VE12,VE1214,Guárico,Santa María de Ipire,,,4531.87,,,,,,,,,,,,,,,,,
3,2,3,1234,,,,,VE04,VE0407,Apure,San Fernando,,,5629.04,,,,,,,,,,,,,,,,,
3,2,3,1238,,,,,VE04,VE0405,Apure,Pedro Camejo,,,20959.41,,,,,,,,,,,,,,,,,
3,2,3,1247,,,,,CO41,CO41206,Huila,Colombia,,,1584.79,,,,,,,,,,,,,,,,,
3,2,3,1256,,,,,CO41,CO41001,Huila,Neiva,,,1269.26,,,,,,,,,,,,,,,,,
3,2,3,1257,,,,,CO41,CO41078,Huila,Baraya,,,785.81,,,,,,,,,,,,,,,,,
3,2,3,1258,,,,,CO41,CO41615,Huila,Rivera,,,251.13,,,,,,,,,,,,,,,,,
3,2,3,1259,,,,,CO11,CO11001,"Bogotá, D.C.","Bogotá, D.C.",,,1622.84,,,,,,,,,,,,,,,,,
3,2,3,1260,,,,,CO50,CO50318,Meta,Guamal,,,595.7,,,,,,,,,,,,,,,,,
3,2,3,1261,,,,,CO25,CO25339,Cundinamarca,Gutiérrez,,,453.22,,,,,,,,,,,,,,,,,
3,2,3,1269,,,,,EC04,EC0402,Carchi,Bolivar,,,355.62,,,,,,,,,,,,,,,,,
3,2,3,1270,,,,,EC04,EC0405,Carchi,Montufar,,,384.71,,,,,,,,,,,,,,,,,
3,2,3,1271,,,,,EC04,EC0406,Carchi,San Pedro de Huaca,,,70.27,,,,,,,,,,,,,,,,,
3,2,3,1273,,,,,CO52,CO52356,Nariño,Ipiales,,,1566.52,,,,,,,,,,,,,,,,,
3,2,3,1274,,,,,CO52,CO52560,Nariño,Potosí,,,386.97,,,,,,,,,,,,,,,,,
3,2,3,1275,,,,,CO52,CO52215,Nariño,Córdoba,,,303.63,,,,,,,,,,,,,,,,,
3,2,3,1276,,,,,CO52,CO52573,Nariño,Puerres,,,349.01,,,,,,,,,,,,,,,,,
3,2,3,1277,,,,,CO52,CO52287,Nariño,Funes,,,393.48,,,,,,,,,,,,,,,,,
3,2,3,1303,,,,,CO41,CO41020,Huila,Algeciras,,,589.42,,,,,,,,,,,,,,,,,
3,2,3,1304,,,,,CO41,CO41306,Huila,Gigante,,,503.38,,,,,,,,,,,,,,,,,
3,2,3,1305,,,,,CO41,CO41799,Huila,Tello,,,530.23,,,,,,,,,,,,,,,,,
3,2,3,1307,,,,,CO41,CO41006,Huila,Acevedo,,,539.91,,,,,,,,,,,,,,,,,
3,2,3,1308,,,,,CO41,CO41530,Huila,Palestina,,,177.98,,,,,,,,,,,,,,,,,
3,2,3,1311,,,,,CO19,CO19533,Cauca,Piamonte,,,1103.07,,,,,,,,,,,,,,,,,
3,2,3,1313,,,,,CO41,CO41551,Huila,Pitalito,,,629.86,,,,,,,,,,,,,,,,,
3,2,3,1314,,,,,CO41,CO41770,Huila,Suaza,,,429.27,,,,,,,,,,,,,,,,,
3,2,3,1315,,,,,CO52,CO52378,Nariño,La Cruz,,,238.25,,,,,,,,,,,,,,,,,
3,2,3,1316,,,,,CO19,CO19701,Cauca,Santa Rosa,,,3612.62,,,,,,,,,,,,,,,,,
