numero,titulo,year,idioma,url,filename,status,size_bytes,size_mb,scraped_at
39,39 Informe Semestral,2025,ENG,https://www.mapp-oea.org/wp-content/uploads/2025/12/CP_INFORME_MAPPOEA_39_ENG.pdf,CP_INFORME_MAPPOEA_39_ENG.pdf,503,0,0.0,2026-06-03T19:44:48.108674Z
39,39 Informe Semestral,2025,ESP,https://www.mapp-oea.org/wp-content/uploads/2025/12/CP_INFORME_MAPPOEA_39_ESP.pdf,CP_INFORME_MAPPOEA_39_ESP.pdf,200,622804,0.59,2026-06-03T19:44:50.428071Z
38,38 Informe Semestral,2025,ENG,https://www.mapp-oea.org/wp-content/uploads/2025/06/CP51877ECP-1.pdf,CP51877ECP-1.pdf,200,958836,0.91,2026-06-03T19:44:51.789271Z
38,38 Informe Semestral,2025,ESP,https://www.mapp-oea.org/wp-content/uploads/2025/06/CP51877SCP-1.pdf,CP51877SCP-1.pdf,200,508144,0.48,2026-06-03T19:44:53.051015Z
37,37 Informe Semestral,2025,ENG,https://www.mapp-oea.org/wp-content/uploads/2025/05/37InformeSemestralMAPPOEAEng.pdf,37InformeSemestralMAPPOEAEng.pdf,200,540765,0.52,2026-06-03T19:44:54.611004Z
37,37 Informe Semestral,2025,ESP,https://www.mapp-oea.org/wp-content/uploads/2025/05/37InformeSemestralMAPPOEAEsp.pdf,37InformeSemestralMAPPOEAEsp.pdf,200,821975,0.78,2026-06-03T19:44:57.653390Z
36,36 Informe Semestral,2024,ENG,https://www.mapp-oea.org/wp-content/uploads/2024/06/Informe-Semestral-36-MAPPOEA-ENG.pdf,Informe-Semestral-36-MAPPOEA-ENG.pdf,503,0,0.0,2026-06-03T19:45:36.391129Z
36,36 Informe Semestral,2024,ESP,https://www.mapp-oea.org/wp-content/uploads/2024/06/Informe-Semestral-36-MAPPOEA-1.pdf,Informe-Semestral-36-MAPPOEA-1.pdf,200,414786,0.4,2026-06-03T19:45:38.551412Z
35,35 Informe Semestral,2024,ENG,https://www.mapp-oea.org/wp-content/uploads/2023/11/INFORME_MAPPOEA_35_ENG.pdf,INFORME_MAPPOEA_35_ENG.pdf,503,0,0.0,2026-06-03T19:46:20.391901Z
35,35 Informe Semestral,2024,ESP,https://www.mapp-oea.org/wp-content/uploads/2023/11/INFORME_MAPPOEA_35.pdf,INFORME_MAPPOEA_35.pdf,200,507867,0.48,2026-06-03T19:46:22.644931Z
34,34 Informe Semestral,2023,ENG,https://www.mapp-oea.org/wp-content/uploads/2023/05/INFORME-XXXIV-Eng-1.pdf,INFORME-XXXIV-Eng-1.pdf,503,0,0.0,2026-06-03T19:46:51.612714Z
34,34 Informe Semestral,2023,ESP,https://www.mapp-oea.org/wp-content/uploads/2023/05/INFORME-XXXIV-Esp-1.pdf,INFORME-XXXIV-Esp-1.pdf,200,1218101,1.16,2026-06-03T19:46:57.414797Z
33,33 Informe Semestral,2022,ENG,https://www.mapp-oea.org/wp-content/uploads/2022/09/Informe-Semestral-XXXIII-MAPPOEA-ENG.pdf,Informe-Semestral-XXXIII-MAPPOEA-ENG.pdf,503,0,0.0,2026-06-03T19:47:41.285653Z
33,33 Informe Semestral,2022,ESP,https://www.mapp-oea.org/wp-content/uploads/2022/09/Informe-Semestral-XXXIII-MAPPOEA.pdf,Informe-Semestral-XXXIII-MAPPOEA.pdf,200,526854,0.5,2026-06-03T19:47:43.351560Z
32,32 Informe Semestral,2022,ENG,https://www.mapp-oea.org/wp-content/uploads/2022/06/Informe-Semestral-XXXII-MAPPOEA-ENG.pdf,Informe-Semestral-XXXII-MAPPOEA-ENG.pdf,404,0,0.0,2026-06-03T19:48:05.396822Z
32,32 Informe Semestral,2022,ESP,https://www.mapp-oea.org/wp-content/uploads/2022/06/Informe-Semestral-XXXII-MAPPOEA.pdf,Informe-Semestral-XXXII-MAPPOEA.pdf,200,574229,0.55,2026-06-03T19:48:07.500366Z
31,31 Informe Semestral,2021,ENG,https://www.mapp-oea.org/wp-content/uploads/2021/12/Informe-Semestral-XXXI-MAPPOEA-ENG.pdf,Informe-Semestral-XXXI-MAPPOEA-ENG.pdf,404,0,0.0,2026-06-03T19:48:14.057281Z
