edition,year,language,category,country_or_chapter,title,url,filename,status,size_bytes,size_mb,scraped_at
Atlas 2024,2024,ESP,Completo,Completo,Atlas 2024 ESP – Descarga Completa,https://www.resdal.org/assets/ATLAS-2024-ESP.pdf,ATLAS-2024-ESP.pdf,200,90366367,86.18,2026-06-03T20:05:51.142425Z
Atlas 2024,2024,ESP,Capítulo,Primeras páginas / La Región,Atlas 2024 ESP – Cap. 0: La Región,https://www.resdal.org/esp/files/0-ESP-PrimerasLaRegion.pdf,0-ESP-PrimerasLaRegion.pdf,200,1247891,1.19,2026-06-03T20:05:52.539224Z
Atlas 2024,2024,ESP,Capítulo,El Marco Legal,Atlas 2024 ESP – Cap. 1: El Marco Legal,https://www.resdal.org/esp/files/01-ESP-El_Marco_Legal.pdf,01-ESP-El_Marco_Legal.pdf,200,1920347,1.83,2026-06-03T20:05:54.166174Z
Atlas 2024,2024,ESP,Capítulo,Las Instituciones,Atlas 2024 ESP – Cap. 2: Las Instituciones,https://www.resdal.org/esp/files/02-ESP-Las_Instituciones.pdf,02-ESP-Las_Instituciones.pdf,200,2070232,1.97,2026-06-03T20:05:56.038108Z
Atlas 2024,2024,ESP,Capítulo,El Presupuesto,Atlas 2024 ESP – Cap. 3: El Presupuesto,https://www.resdal.org/esp/files/03-ESP-ElPresupuesto.pdf,03-ESP-ElPresupuesto.pdf,200,1013802,0.97,2026-06-03T20:05:57.333571Z
Atlas 2024,2024,ESP,Capítulo,Las Fuerzas Armadas,Atlas 2024 ESP – Cap. 4: Las Fuerzas Armadas,https://www.resdal.org/esp/files/04-ESP-LasFuerzasArmadas.pdf,04-ESP-LasFuerzasArmadas.pdf,200,2416316,2.3,2026-06-03T20:05:59.190464Z
Atlas 2024,2024,ESP,Capítulo,Relaciones Internacionales,Atlas 2024 ESP – Cap. 5: Relaciones Internacionales,https://www.resdal.org/esp/files/05-ESP-RelacionesInternacionales.pdf,05-ESP-RelacionesInternacionales.pdf,200,2480471,2.37,2026-06-03T20:06:01.512543Z
Atlas 2024,2024,ESP,Capítulo,"Mujer, Paz y Seguridad","Atlas 2024 ESP – Cap. 6: Mujer, Paz y Seguridad",https://www.resdal.org/esp/files/06-ESP-MujerPazySeguridad.pdf,06-ESP-MujerPazySeguridad.pdf,200,2987651,2.85,2026-06-03T20:06:03.968077Z
Atlas 2024,2024,ESP,Capítulo,Gestión del Riesgo y Emergencias,Atlas 2024 ESP – Cap. 7: Gestión del Riesgo y Emergencias,https://www.resdal.org/esp/files/07-ESP-GestiondelRiesgoyemergencias.pdf,07-ESP-GestiondelRiesgoyemergencias.pdf,200,2286178,2.18,2026-06-03T20:06:06.006543Z
Atlas 2024,2024,ESP,Capítulo,Caribe,Atlas 2024 ESP – Cap. 8: Caribe,https://www.resdal.org/esp/files/08-ESP-Caribe.pdf,08-ESP-Caribe.pdf,200,11099244,10.59,2026-06-03T20:06:12.265577Z
Atlas 2024,2024,ESP,País,Argentina,Atlas 2024 ESP – Argentina,https://www.resdal.org/esp/files/9-ESP-Argentina.pdf,9-ESP-Argentina.pdf,200,6424077,6.13,2026-06-03T20:06:16.365227Z
Atlas 2024,2024,ESP,País,Bolivia,Atlas 2024 ESP – Bolivia,https://www.resdal.org/esp/files/10-ESP-Bolivia.pdf,10-ESP-Bolivia.pdf,200,2155013,2.06,2026-06-03T20:06:18.609897Z
Atlas 2024,2024,ESP,País,Brasil,Atlas 2024 ESP – Brasil,https://www.resdal.org/esp/files/11-ESP-Brasil.pdf,11-ESP-Brasil.pdf,200,5209523,4.97,2026-06-03T20:06:22.891838Z
