titulo,url,fecha,resumen,pdf_url,tipo,fuente,fenomeno,page,scraped_at
Kevin Steeves,https://www.sipri.org/about/bios/kevin-steeves,,,,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.862636Z
Dr Jaïr van der Lijn,https://www.sipri.org/about/bios/dr-jair-van-der-lijn,,,https://peacekeeping.un.org/sites/default/files/report_civil_society_workshop_fopo_final.pdf,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.863216Z
Abel Gbala,https://www.sipri.org/about/bios/abel-gbala,,,,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.863766Z
Dr Marina Caparini,https://www.sipri.org/about/bios/dr-marina-caparini,,,,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.864245Z
Gretchen Baldwin,https://www.sipri.org/about/bios/gretchen-baldwin,,,,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.864724Z
Abeer S. Ahmad,https://www.sipri.org/about/bios/abeer-s-ahmad,,,,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.865353Z
Cyrielle Trebosc,https://www.sipri.org/about/bios/cyrielle-trebosc,,,,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.865815Z
Kheira Tarif,https://www.sipri.org/about/bios/kheira-tarif,,,,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.866324Z
Dr Alaa Tartir,https://www.sipri.org/about/bios/dr-alaa-tartir,,,,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.866784Z
Dr Bilal Salaymeh,https://www.sipri.org/about/bios/dr-bilal-salaymeh,,,,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.867326Z
Dr Thor Olav Iversen,https://www.sipri.org/about/bios/dr-thor-olav-iversen,,,,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.867839Z
Katongo Seyuba,https://www.sipri.org/about/bios/katongo-seyuba,,,,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.868309Z
Dr Andrew E. Yaw Tchie,https://www.sipri.org/about/bios/dr-andrew-e-yaw-tchie,,,,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.869018Z
Ingvild Brox Brodtkorb,https://www.sipri.org/about/bios/ingvild-brox-brodtkorb,,,,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.869413Z
Jules Duhamel,https://www.sipri.org/about/bios/jules-duhamel,,,,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.869879Z
Pieter D. Wezeman,https://www.sipri.org/about/bios/pieter-d-wezeman,,,https://www.clingendael.org/sites/default/files/2018-01/Report_International_Arms_Flows.pdf,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.870414Z
Zain Hussain,https://www.sipri.org/about/bios/zain-hussain,,,,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.871377Z
Katarina Djokic,https://www.sipri.org/about/bios/katarina-djokic,,,https://bezbednost.org/wp-content/uploads/2020/03/Djokic_Ignjatijevic_2020_why_are_people_leaving_the_serbian_defence_system_.pdf,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.873528Z
Eugenio Benincasa,https://www.sipri.org/about/bios/eugenio-benincasa,,,,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.874484Z
Dr Claudia Pfeifer Cruz,https://www.sipri.org/about/bios/dr-claudia-pfeifer-cruz,,,,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.874968Z
Dr Jaïr van der Lijn,https://www.sipri.org/about/bios/dr-jair-van-der-lijn,,,https://peacekeeping.un.org/sites/default/files/report_civil_society_workshop_fopo_final.pdf,web_scraping,SIPRI,F3 - Dinámicas territoriales,0,2026-07-15T19:45:00.875758Z
